id,source,ambientTemp,latitude,longitude,time
2WWPqcpv57ZUqKgfu4ryDReDz89,,14.5,47.23,15.67,2023-10-09T09:59:14.268Z
2WWPqhkMQAaqi5ehC88z6AVJCvo,,20.5,36.63,-119.63,2023-10-09T09:59:14.762Z
2WWPqbJp3hbseE8LczSl4bVgUlg,,24,33.06,-117.21,2023-10-09T09:59:14.847Z
2WWPqnhd7XU9VPEONyWiB3bvUM2,,29.5,33.87,-117.84,2023-10-09T09:59:15.348Z
2WWPqjohM3zsaEsKV6Ex2yYPdjT,,21.5,36.96,-120.06,2023-10-09T09:59:15.538Z
2WWPqiXuQB72rUoKh5uorge4ZoE,,29.5,33.15,-117.05,2023-10-09T09:59:15.856Z
2WWPqnEC5OgDRLoTYIk1yAGqTBZ,,18.5,42.49,-92.45,2023-10-09T09:59:15.857Z
2WWPqifjgDFqI9WuWA29Bw1fheQ,,20.5,40.37,-75.1,2023-10-09T09:59:15.857Z
2WWPqlK5zCQemvbaahPjXDo4Wri,,10,42.37,-71.16,2023-10-09T09:59:15.932Z
2WWPqwGiHJHfTYuB24AGOfhGXjw,,15.5,53.06,8.73,2023-10-09T09:59:16.247Z
2WWPqtx5zZ8xQB3NcI1a5kBLrb8,,14,40.54,-74.36,2023-10-09T09:59:16.546Z
2WWPqra9m9ISYG3jIawa73pevnE,,17,47.53,-121.88,2023-10-09T09:59:16.82Z
2WWPqs3D0eLUBcc7OPnDBvs88RA,,26,25.65,-80.39,2023-10-09T09:59:16.943Z
2WWPqys6iG4dX7pmcNb19qsoy23,,19.5,33.85,-118.1,2023-10-09T09:59:17.052Z
2WWPr2YWWRGvQ1aDdvRQ6RJ6wzz,,24,33.98,-118.44,2023-10-09T09:59:17.344Z
2WWPr4agNjHYHwXCRH03lZUQOKw,,21.6,34.1,-118.32,2023-10-09T09:59:17.57Z
2WWPqyL71XicCErf3m2oB86ZKZp,,16,37.66,-122.41,2023-10-09T09:59:17.842Z
2WWPqygto0lLxMmlSK54niNTWgt,,30.5,33.46,-111.78,2023-10-09T09:59:17.853Z
2WWPr22n7CeUbnGDiQcNzQJeyu0,,20,41.15,-73.43,2023-10-09T09:59:17.922Z
2WWPr1MdGz3qQKj4wR19hq3hyBi,,25.5,28.44,-81.59,2023-10-09T09:59:17.922Z
2WWPrD0NMiJxJOSR0uqSMMJyAhz,,25.5,38.09,-122.19,2023-10-09T09:59:18.346Z
2WWPrBFjocdcxBKggnlngPsf0vM,,15.5,37.25,-121.77,2023-10-09T09:59:18.431Z
